Sample in Buffer,Sample in Window,TRIGGER,clk_vector,trigger_adc_buf_in[7:0],trig_vector,diff[8:0],prev_frame_adc[7:0]
Radix - UNSIGNED,UNSIGNED,UNSIGNED,HEX,UNSIGNED,HEX,SIGNED,UNSIGNED
775,775,0,1,148,0,1,148
776,776,0,0,148,0,1,148
777,777,0,0,148,0,0,148
778,778,0,0,148,0,0,148
779,779,0,1,148,0,0,148
780,780,0,1,148,0,0,148
781,781,0,0,148,0,0,148
782,782,0,0,148,0,0,148
783,783,0,0,148,0,0,148
784,784,0,1,148,0,0,148
785,785,0,1,148,0,0,148
786,786,0,0,148,0,0,148
787,787,0,0,148,0,0,148
788,788,0,0,148,0,0,148
789,789,0,1,148,0,0,148
790,790,0,1,148,0,0,148
791,791,0,0,148,0,0,148
792,792,0,0,148,0,0,148
793,793,0,0,148,0,0,148
794,794,0,1,148,0,0,148
795,795,0,1,148,0,0,148
796,796,0,0,148,0,0,148
797,797,0,0,148,0,0,148
798,798,0,0,148,0,0,148
799,799,0,1,148,0,0,148
800,800,0,1,148,0,0,148
801,801,0,0,148,0,0,148
802,802,0,0,147,0,0,148
803,803,0,0,147,0,0,148
804,804,0,1,147,0,0,148
805,805,0,1,147,0,0,148
806,806,0,0,147,0,0,148
807,807,0,0,148,0,1,148
808,808,0,0,148,0,1,148
809,809,0,1,148,0,1,148
810,810,0,1,148,0,1,148
811,811,0,0,148,0,1,148
812,812,0,0,148,0,0,148
813,813,0,0,148,0,0,148
814,814,0,1,148,0,0,148
